2000/01/21,1835,"東鉄工業",228,228,222,227,18000,1
2000/01/21,1836,"大日本土木",184,184,182,182,9000,1
2000/01/21,1837,"ハザマ",68,69,67,68,195000,1
2000/01/21,1838,"古久根建設",108,108,105,108,10000,1
2000/01/21,1839,"真柄建設",180,199,180,180,40000,1
2000/01/21,1840,"土屋ホーム",286,286,286,286,1800,2
2000/01/21,1841,"サンユー建",0,0,0,0,0,3
2000/01/21,1844,"大盛工業",270,270,270,270,2000,2
2000/01/21,1846,"鈴縫工業",0,0,0,0,0,2
2000/01/21,1847,"イチケン",120,122,120,122,21000,1
2000/01/21,1851,"大木建設",216,220,212,216,38000,1
2000/01/21,1852,"浅沼組",176,179,172,176,26000,1
2000/01/21,1854,"新井組",188,188,185,187,25900,1
2000/01/21,1855,"東急建設",71,72,70,70,53000,1
2000/01/21,1858,"井上工業",65,65,62,63,27000,2
2000/01/21,1860,"戸田建設",441,441,420,430,471000,1
2000/01/21,1861,"熊谷組",78,80,76,78,967000,1
2000/01/21,1862,"横河工事",330,330,320,330,5300,2
2000/01/21,1863,"テトラ",229,240,229,230,18000,1
2000/01/21,1865,"小松建設",129,129,128,128,7000,1
2000/01/21,1866,"北野建設",315,320,308,310,515000,1
2000/01/21,1867,"植木組",180,190,180,181,3000,1
2000/01/21,1868,"三井ホーム",430,433,430,433,22000,1
2000/01/21,1870,"矢作建設",399,399,399,399,3000,1
2000/01/21,1871,"ピー・エス",459,463,437,452,31300,1
2000/01/21,1872,"アゼル",339,339,330,334,79000,1
2000/01/21,1873,"東日ハウス",460,461,450,460,32000,3
2000/01/21,1874,"佐藤秀",149,150,149,150,6000,3
2000/01/21,1877,"川田建設",0,0,0,0,0,3
2000/01/21,1878,"大東建託",1241,1241,1201,1235,172800,1
2000/01/21,1879,"新日本建設",218,218,218,218,2000,2
2000/01/21,1880,"駿河建設",0,0,0,0,0,2
2000/01/21,1881,"日本鋪道",516,516,510,512,84000,1
2000/01/21,1882,"東亜道路",237,242,235,241,134000,1
2000/01/21,1883,"前田道路",508,517,503,517,95000,1
2000/01/21,1884,"日本道路",187,190,180,188,83000,1
2000/01/21,1885,"東亜建設",150,151,146,151,323000,1
2000/01/21,1886,"青木建設",51,51,50,51,1197000,1
2000/01/21,1888,"若築建設",164,165,160,161,88000,1
2000/01/21,1889,"佐伯建設",165,168,165,166,40000,1
2000/01/21,1890,"東洋建設",103,103,100,101,207000,1
2000/01/21,1893,"五洋建設",155,157,152,154,248000,1
2000/01/21,1895,"大成ロテク",192,194,188,191,37000,1
2000/01/21,1896,"大林道路",311,325,311,323,119000,1
2000/01/21,1898,"世紀東急工",92,92,92,92,20000,1
2000/01/21,1899,"福田組",305,310,300,302,74000,1
2000/01/21,1900,"白石",170,170,166,166,5000,2
2000/01/21,1902,"山崎建設",0,0,0,0,0,3
2000/01/21,1904,"大成温調",459,459,459,459,7000,3
2000/01/21,1905,"テノックス",0,0,0,0,0,3
2000/01/21,1906,"細田工務店",320,320,320,320,1000,3
2000/01/21,1907,"東北ミサワ",565,565,565,565,4000,2
2000/01/21,1908,"三平建設",0,0,0,0,0,3
2000/01/21,1909,"日ドライ",300,300,281,281,32500,1
2000/01/21,1910,"フドウ建研",136,136,134,134,4000,3
2000/01/21,1911,"住友林業",0,0,0,0,0,1
2000/01/21,1913,"旭ホームズ",112,112,112,112,2000,3
2000/01/21,1914,"日本基礎技",648,648,640,642,19200,1
2000/01/21,1915,"東京ミサワ",0,0,0,0,0,3
2000/01/21,1916,"日成ビルド",260,263,248,263,35000,1
2000/01/21,1917,"ニツセキハ",145,149,141,141,456000,1
2000/01/21,1919,"Ｓ×Ｌ",335,337,317,317,360000,1
2000/01/21,1920,"殖産住宅",130,130,118,118,1075000,1
2000/01/21,1921,"巴コーポ",190,190,190,190,4000,1
2000/01/21,1922,"大成プレハ",98,98,95,95,15000,1
2000/01/21,1923,"ミサワ",365,365,362,364,70000,1
2000/01/21,1924,"ナショ住宅",706,721,700,704,274000,1
2000/01/21,1925,"大和ハウス",926,936,909,935,1734000,1
2000/01/21,1926,"ライト工業",543,548,538,545,172700,1
