2000/01/11,1002,"ＴＯＰＩＸ",1607.12,1679.71,1607.12,1678.82,640080000,1
2000/01/11,1301,"極洋",137,138,135,135,236000,1
2000/01/11,1331,"ニチロ",160,160,151,155,341000,1
2000/01/11,1332,"日本水産",174,174,166,168,410000,1
2000/01/11,1333,"マルハ",126,126,122,122,351000,1
2000/01/11,1351,"宝幸水産",100,100,97,98,8000,1
2000/01/11,1352,"ホウスイ",103,105,103,105,5000,1
2000/01/11,1376,"カネコ種苗",830,830,830,830,2000,3
2000/01/11,1377,"サカタタネ",2500,2580,2460,2580,72500,1
2000/01/11,1379,"ホクト産業",5040,5040,4790,4870,94300,1
2000/01/11,1380,"秋川牧園",606,606,605,605,2000,3
2000/01/11,1491,"中外鉱業",119,124,111,119,15926000,2
2000/01/11,1501,"三井鉱山",101,101,96,101,284000,1
2000/01/11,1503,"住友石炭鉱",91,93,90,93,254000,1
2000/01/11,1515,"日鉄鉱業",245,245,240,240,50000,1
2000/01/11,1518,"三井松島産",165,171,165,171,264000,1
2000/01/11,1601,"帝国石油",300,306,295,299,335000,1
2000/01/11,1603,"アラビア石",1610,1650,1600,1645,164600,1
2000/01/11,1661,"関東天然ガ",405,410,405,408,13000,1
2000/01/11,1701,"昭和鉱業",258,265,258,265,20000,2
2000/01/11,1741,"ミサワサン",750,760,750,750,9000,3
2000/01/11,1742,"セコムテク",2505,2580,2505,2520,16000,2
2000/01/11,1743,"コーアツ工",730,750,730,730,5000,3
2000/01/11,1744,"キョーエイ",750,750,750,750,2000,3
2000/01/11,1748,"ミサワ北日",0,0,0,0,0,3
2000/01/11,1749,"大和通信建",280,285,280,285,3000,3
2000/01/11,1751,"日立プラサ",460,460,460,460,2000,3
2000/01/11,1752,"富士通シス",1701,1701,1650,1650,22000,2
2000/01/11,1753,"土屋ツーバ",160000,170000,160000,170000,10,3
2000/01/11,1754,"東新住建",670,700,631,631,39000,3
2000/01/11,1755,"日本鋼管工",371,371,371,371,2000,2
2000/01/11,1756,"シンコー",0,0,0,0,0,3
2000/01/11,1758,"太洋基礎工",565,570,565,565,5000,3
2000/01/11,1763,"北陸ミサワ",554,570,554,570,4000,3
2000/01/11,1764,"工藤建設",285,285,285,285,3000,2
2000/01/11,1766,"東建コーポ",850,850,850,850,1000,3
2000/01/11,1767,"沖電気工事",608,608,600,600,7000,2
2000/01/11,1769,"ピコイ",95,100,87,87,18000,3
2000/01/11,1770,"藤田エンジ",705,705,630,630,4000,3
2000/01/11,1772,"東北エンタ",200,200,200,200,2000,3
2000/01/11,1775,"富士電工事",211,211,210,210,3000,2
2000/01/11,1776,"三井道路",119,119,115,115,2000,2
2000/01/11,1778,"古河総合設",179,179,179,179,2000,2
2000/01/11,1779,"松本建工",510,510,510,510,3000,3
2000/01/11,1780,"ヤマウラ",415,415,390,390,3000,1
2000/01/11,1781,"国土総合建",373,375,373,375,5000,3
2000/01/11,1782,"常磐開発",205,205,205,205,1000,3
2000/01/11,1783,"南野建設",100,100,100,100,1000,3
2000/01/11,1784,"サワコー",540,540,530,530,28300,3
2000/01/11,1786,"オリ建設",559,559,484,500,34900,1
2000/01/11,1787,"ナカボーテ",0,0,0,0,0,3
2000/01/11,1788,"三東工業社",0,0,0,0,0,3
2000/01/11,1789,"山加電業",0,0,0,0,0,3
2000/01/11,1791,"三井木材",121,145,121,126,30500,1
2000/01/11,1792,"日東大都工",233,234,233,234,5000,1
2000/01/11,1793,"大本組",0,0,0,0,0,3
2000/01/11,1795,"マサル",0,0,0,0,0,3
